;N;Funding Year;Report 4.5;Manual Tags;Research Lines;Publication Year;Author original;Author;File Attachments;Link Attachments;Manual Tags;Lines Collaboration;N;Title of publication;Journal;Volume;Pages;Year;CR2;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc.;Undergraduated Students;Graduated Students;FONDAP;FONDECYT;FONDEF;BASAL;ICM;OTHER (specify);ESPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;Copy for Cites DOI
0;;2019;no;Zonas Costeras;;2019;"Yevenes, Mariela A.; Lagos, Nelson A.; Farías, Laura; Vargas, Cristian A.";"Yevenes, Mariela A.; Lagos, Nelson A.; Farías, Laura; Vargas, Cristian A.";;;Zonas Costeras;;;Greenhouse gases, nutrients and the carbonate system in the Reloncaví Fjord (Northern Chilean Patagonia): Implications on aquaculture of the mussel, Mytilus chilensis, during an episodic volcanic eruption;Science of The Total Environment;vol.669.0 is.;49-61;2019;;;;;;;;;;;;;;;;;;0048-9697;;;;;;;;;Greenhouse gases, nutrients and the carbonate system in the Reloncaví Fjord (Northern Chilean Patagonia): Implications on aquaculture of the mussel, Mytilus chilensis, during an episodic volcanic eruption;10.1016/j.scitotenv.2019.03.037
1;;2019;no;"Ciudades Resilientes; Zonas Costeras";;2019;"Rowe, Penny M.; Cordero, Raul R.; Warren, Stephen G.; Stewart, Emily; Doherty, Sarah J.; Pankow, Alec; Schrempf, Michael; Casassa, Gino; Carrasco, Jorge; Pizarro, Jaime; MacDonell, Shelley; Damiani, Alessandro; Lambert, Fabrice; Rondanelli, Roberto; Huneeus, Nicolas; Fernandoy, Francisco; Neshyba, Steven";"Rowe, Penny M.; Cordero, Raul R.; Warren, Stephen G.; Stewart, Emily; Doherty, Sarah J.; Pankow, Alec; Schrempf, Michael; Casassa, Gino; Carrasco, Jorge; Pizarro, Jaime; MacDonell, Shelley; Damiani, Alessandro; Lambert, Fabrice; Rondanelli, Roberto; Huneeus, Nicolas; Fernandoy, Francisco; Neshyba, Steven";;;"Ciudades Resilientes; Zonas Costeras";;;Black carbon and other light-absorbing impurities in snow in the Chilean Andes;Scientific Reports;vol.9.0 is.1.0;;2019;;;;;;;;;;;;;;;;;;2045-2322;;;;;;;;;Black carbon and other light-absorbing impurities in snow in the Chilean Andes;10.1038/s41598-019-39312-0
2;;2019;no;"Agua y Extremos; Zonas Costeras; Transversal";;2019;"Rondanelli, R.; Hatchett, B.; Rutllant, J.; Bozkurt, D.; Garreaud, R.";"Rondanelli, R.; Hatchett, B.; Rutllant, J.; Bozkurt, D.; Garreaud, R.";;;"Agua y Extremos; Zonas Costeras; Transversal";;;Strongest MJO on Record Triggers Extreme Atacama Rainfall and Warmth in Antarctica;Geophysical Research Letters;vol. is.;;2019;;;;;;;;;;;;;;;;;;0094-8276;;;;;;;;;Strongest MJO on Record Triggers Extreme Atacama Rainfall and Warmth in Antarctica;10.1029/2018GL081475
3;;2019;no;Cambio de Uso de Suelo;;2019;"Soto, L.; Galleguillos, M.; Seguel, O.; Sotomayor, B.; Lara, A.";"Soto, L.; Galleguillos, M.; Seguel, O.; Sotomayor, B.; Lara, A.";;;Cambio de Uso de Suelo;;;Assessment of soil physical properties' statuses under different land covers within a landscape dominated by exotic industrial tree plantations in south-central Chile;Journal of Soil and Water Conservation;vol.74.0 is.1.0;12-23;2019;;;;;;;;;;;;;;;;;;0022-4561;;;;;;;;;Assessment of soil physical properties' statuses under different land covers within a landscape dominated by exotic industrial tree plantations in south-central Chile;10.2489/jswc.74.1.12
4;;2019;no;Gobernanza e Interfaz Ciencia y Política;;2019;"Tobasura Morales, David; Gurri, Francisco D.; Blanco Wells, Gustavo; Schmook, Birgit";"Tobasura Morales, David; Gurri, Francisco D.; Blanco Wells, Gustavo; Schmook, Birgit";;;Gobernanza e Interfaz Ciencia y Política;;;Enredando bosques y comunidades: territorialización de REDD+ en el ejido Felipe Carrillo Puerto, México;Cuadernos de Desarrollo Rural;vol.15.0 is.81.0;1-18;2019;;;;;;;;;;;;;;;;;;0122-1450;;;;;;;;;Enredando bosques y comunidades: territorialización de REDD+ en el ejido Felipe Carrillo Puerto, México;10.11144/Javeriana.cdr15-81.ebct
5;;2019;no;Cambio de Uso de Suelo;;2019;"Tejo, Camila F.; Fontúrbel, Francisco E.";"Tejo, Camila F.; Fontúrbel, Francisco E.";;;Cambio de Uso de Suelo;;;A vertical forest within the forest: millenary trees from the Valdivian rainforest as biodiversity hubs;Ecology;vol. is.;e02584;2019;;;;;;;;;;;;;;;;;;0012-9658;;;;;;;;;A vertical forest within the forest: millenary trees from the Valdivian rainforest as biodiversity hubs;10.1002/ecy.2584
6;;2019;no;"Agua y Extremos; Cambio de Uso de Suelo";;2019;"Collins, James A.; Lamy, Frank; Kaiser, Jérôme; Ruggieri, Nicoletta; Henkel, Susann; De Pol‐Holz, Ricardo; Garreaud, René; Arz, Helge W.";"Collins, James A.; Lamy, Frank; Kaiser, Jérôme; Ruggieri, Nicoletta; Henkel, Susann; De Pol‐Holz, Ricardo; Garreaud, René; Arz, Helge W.";;;"Agua y Extremos; Cambio de Uso de Suelo";;;Centennial‐Scale SE Pacific Sea Surface Temperature Variability Over the Past 2,300 Years;Paleoceanography and Paleoclimatology;vol. is.;;2019;;;;;;;;;;;;;;;;;;2572-4517;;;;;;;;;Centennial‐Scale SE Pacific Sea Surface Temperature Variability Over the Past 2,300 Years;10.1029/2018PA003465
7;;2019;no;Gobernanza e Interfaz Ciencia y Política;;2019;"Seth, Anji; Giannini, Alessandra; Rojas, Maisa; Rauscher, Sara A.; Bordoni, Simona; Singh, Deepti; Camargo, Suzana J.";"Seth, Anji; Giannini, Alessandra; Rojas, Maisa; Rauscher, Sara A.; Bordoni, Simona; Singh, Deepti; Camargo, Suzana J.";;;Gobernanza e Interfaz Ciencia y Política;;;Monsoon Responses to Climate Changes—Connecting Past, Present and Future;Current Climate Change Reports;vol. is.;;2019;;;;;;;;;;;;;;;;;;2198-6061;;;;;;;;;Monsoon Responses to Climate Changes—Connecting Past, Present and Future;10.1007/s40641-019-00125-y
8;;2019;no;Cambio de Uso de Suelo;;2019;"Altamirano, Adison; Miranda, Alejandro; Meli, Paula; Dehennin, Joris; Muys, Bart; Prado, Marco; Catalán, Germán; Smith-Ramírez, Cecilia; Bustamante-Sánchez, Marcela; Lisón, Fulgencio; María Rey-Benayas, José";"Altamirano, Adison; Miranda, Alejandro; Meli, Paula; Dehennin, Joris; Muys, Bart; Prado, Marco; Catalán, Germán; Smith-Ramírez, Cecilia; Bustamante-Sánchez, Marcela; Lisón, Fulgencio; María Rey-Benayas, José";;;Cambio de Uso de Suelo;;;Spatial congruence among indicators of recovery completeness in a Mediterranean forest landscape: Implications for planning large-scale restoration;Ecological Indicators;vol.102.0 is.;752-759;2019;;;;;;;;;;;;;;;;;;1470-160X;;;;;;;;;Spatial congruence among indicators of recovery completeness in a Mediterranean forest landscape: Implications for planning large-scale restoration;10.1016/j.ecolind.2019.03.046
9;;2019;no;"Ciudades Resilientes; Gobernanza e Interfaz Ciencia y Política";;2019;"Rojas, Maisa; Lambert, Fabrice; Ramirez-Villegas, Julian; Challinor, Andrew J.";"Rojas, Maisa; Lambert, Fabrice; Ramirez-Villegas, Julian; Challinor, Andrew J.";;;"Ciudades Resilientes; Gobernanza e Interfaz Ciencia y Política";;;Emergence of robust precipitation changes across crop production areas in the 21st century;Proceedings of the National Academy of Sciences;vol.116.0 is.14.0;6673-6678;2019;;;;;;;;;;;;;;;;;;0027-8424;;;;;;;;;Emergence of robust precipitation changes across crop production areas in the 21st century;10.1073/pnas.1811463116
10;;2019;no;Cambio de Uso de Suelo;;2019;"Moreno, Karen; Bostelmann, Juan Enrique; Macías, Cintia; Navarro-Harris, Ximena; De Pol-Holz, Ricardo; Pino, Mario";"Moreno, Karen; Bostelmann, Juan Enrique; Macías, Cintia; Navarro-Harris, Ximena; De Pol-Holz, Ricardo; Pino, Mario";;;Cambio de Uso de Suelo;;;A late Pleistocene human footprint from the Pilauco archaeological site, northern Patagonia, Chile;PLOS ONE;vol.14.0 is.4.0;e0213572;2019;;;;;;;;;;;;;;;;;;1932-6203;;;;;;;;;A late Pleistocene human footprint from the Pilauco archaeological site, northern Patagonia, Chile;10.1371/journal.pone.0213572
11;;2019;no;Zonas Costeras;;2019;"Bange, Hermann W.; Arévalo-Martínez, Damian L.; de la Paz, Mercedes; Farías, Laura; Kaiser, Jan; Kock, Annette; Law, Cliff S.; Rees, Andrew P.; Rehder, Gregor; Tortell, Philippe D.; Upstill-Goddard, Robert C.; Wilson, Samuel T.";"Bange, Hermann W.; Arévalo-Martínez, Damian L.; de la Paz, Mercedes; Farías, Laura; Kaiser, Jan; Kock, Annette; Law, Cliff S.; Rees, Andrew P.; Rehder, Gregor; Tortell, Philippe D.; Upstill-Goddard, Robert C.; Wilson, Samuel T.";;;Zonas Costeras;;;A Harmonized Nitrous Oxide (N2O) Ocean Observation Network for the 21st Century;Frontiers in Marine Science;vol.6.0 is.;157;2019;;;;;;;;;;;;;;;;;;2296-7745;;;;;;;;;A Harmonized Nitrous Oxide (N2O) Ocean Observation Network for the 21st Century;10.3389/fmars.2019.00157
12;;2019;no;Ciudades Resilientes;;2019;"Tully, Craig D.; Rech, Jason A.; Workman, T. Race; Santoro, Calogero M.; Capriles, José M.; Gayo, Eugenia M.; Latorre, Claudio";"Tully, Craig D.; Rech, Jason A.; Workman, T. Race; Santoro, Calogero M.; Capriles, José M.; Gayo, Eugenia M.; Latorre, Claudio";;;Ciudades Resilientes;;;In-stream wetland deposits, megadroughts, and cultural change in the northern Atacama Desert, Chile;Quaternary Research;vol.91.0 is.1.0;63-80;2019;;;;;;;;;;;;;;;;;;0033-5894;;;;;;;;;In-stream wetland deposits, megadroughts, and cultural change in the northern Atacama Desert, Chile;10.1017/qua.2018.122
